stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,stop_IBNR
80952,,ŁOWCZÓWEK PLEŚNA,,49.9282996,20.9496368,,,,3217
178473,,KŁOKOWA,,49.9533037,20.9572747,,,,3113
77123,,GORZÓW CHRZANOWSKI,,50.0736961,19.2421176,,,,4111
77958,,CHEŁMEK,,50.0991207,19.2540829,,,,3049
77909,,LIBIĄŻ,,50.1127879,19.3275956,,,,3153
77800,,CHRZANÓW,,50.133418,19.3984948,,,,704
77834,,CHRZANÓW ŚRÓDMIEŚCIE,,50.1443979,19.414047,,,,3054
77503,,TRZEBINIA,,50.1539774,19.4528744,,,,228
77578,,DULOWA,,50.1404854,19.5206471,,,,3068
77586,,WOLA FILIPOWSKA,,50.130823,19.5773468,,,,3334
77701,,KRZESZOWICE,,50.1308093,19.6368484,,,,3145
280602,,PISARY,,50.1287,19.682099,,,,6705
77735,,RUDAWA,,50.1188406,19.71932,,,,3253
80390,,ZABIERZÓW,,50.1177415,19.7994021,,,,3341
236232,,ZABIERZÓW RZĄSKA,,50.1056322,19.8236209,,,,3134
80358,,KRAKÓW MYDLNIKI WAPIENNIK,,50.0912014,19.8444987,,,,3132
80333,,KRAKÓW MYDLNIKI,,50.0833871,19.8623974,,,,3131
79251,,KRAKÓW LUBOCZA,,50.090594,20.0745996,,,,3129
178406,,KRAKÓW NOWA HUTA,,50.0902487,20.1286921,,,,3372
280605,,KRAKÓW KOŚCIELNIKI,,50.0898467,20.1689972,,,,6703
280604,,KRAKÓW PRZYLASEK,,50.0549239,20.1651281,,,,6704
82487,,KRYNICA-ZDRÓJ,,49.4096966,20.9571875,,,,89
82446,,MUSZYNA ZDRÓJ,,49.3578796,20.8962887,,,,3188
82404,,MUSZYNA,,49.346523,20.894138,,,,128
82552,,ŻEGIESTÓW-ZDRÓJ,,49.3629494,20.8032539,,,,271
82586,,ŁOMNICA-ZDRÓJ,,49.4198943,20.7247758,,,,3160
82099,,PIWNICZNA-ZDRÓJ,,49.4407397,20.7173547,,,,3216
82073,,RYTRO,,49.486527,20.6802103,,,,3256
82032,,STARY SĄCZ,,49.5589896,20.6433506,,,,194
81638,,POLNA,,49.6752308,20.9945922,,,,3224
81646,,SZALOWA,,49.6792463,21.0236964,,,,3295
81653,,WOLA ŁUŻAŃSKA,,49.6940348,21.0609696,,,,3335
81661,,MOSZCZENICA MAŁOPOLSKA,,49.6970691,21.1221303,,,,3182
81703,,GORLICE ZAGÓRZANY,,49.6939107,21.1949987,,,,3079
81828,,LIBUSZA,,49.7119287,21.2410388,,,,3154
81786,,BIECZ,,49.7325356,21.2629707,,,,3035
81836,,SIEPIETNICA,,49.7544442,21.2967069,,,,3270
81844,,SKOŁYSZYN,,49.7451627,21.3391667,,,,3276
83337,,PRZYSIEKI,,49.7328005,21.3944492,,,,3234
83352,,JASŁO NIEGŁOWICE,,49.7263108,21.4518358,,,,3094
83410,,JASŁO,,49.7377605,21.4709081,,,,58
79020,,ZAKOPANE,,49.3007808,19.9630046,,,,253
78980,,PORONIN,,49.3439876,20.0035752,,,,3225
78907,,NOWY TARG,,49.473443,20.0152662,,,,135
265251,,CHABÓWKA STADION,,49.5899752684799,19.9205027526438,,,,6653
78535,,MAKÓW PODHALAŃSKI,,49.7266611,19.6785066,,,,3166
258708,,SUCHA BESKIDZKA ZAMEK,,49.7437754,19.6033392,,,,3392
78345,,KALWARIA ZEBRZYDOWSKA LANCKORONA,,49.87115,19.688654,,,,709
179275,,PLAVEC,,49.26934,20.85102,,,,14390
81778,,GORLICE GLINIK,,49.6717869,21.1729972,,,,3078
81760,,GORLICE,,49.6643754,21.1629729,,,,3077
